ICAO;region;turnoshini;capsostenible
LEMD;CENTRO-NORTE;7,15,22;18,38,45,52,62,71,78,81,89,100
LEMD_DCL;CENTRO-NORTE;7.5,15,22.5;18,38,45,52,62,71,78,81,100
LEST;CENTRO-NORTE;7,15,22;12,24
LEBB;CENTRO-NORTE;6,15;15,27
LEVT;CENTRO-NORTE;7,14,22;12
LEAS;CENTRO-NORTE;7,13,19;12
LEXJ;CENTRO-NORTE;7,14;12
LEPP;CENTRO-NORTE;6,13;8
LERJ;CENTRO-NORTE;6,14;8
LESO;CENTRO-NORTE;7,13;8
LEBL;ESTE;7,14,22;16,27,40,46,66,81
LEGE;ESTE;7,15,22;14,25
LERS;ESTE;7,13;10
GCLP;CANARIA;7,15,22;12,26,35,42
GCTS;CANARIA;7,14,22;12,24,33
GCXO;CANARIA;6,15;12,22,33
LEMG;SUR;7,15,22;12,24,37,50,60
LEAM;SUR;7,13;12
LEGR;SUR;7,13;12
GEML;SUR;7,14;10
LEPA;BALEAR;7,15,23;14,25,38,47,68
LEMH;BALEAR;6,15;12,25
